SHITOMASI - BRISK; SHITOMASI - BRIEF;SHITOMASI - ORB ;SHITOMASI - FREAK;SHITOMASI - SIFT;FAST - BRISK; FAST- BRIEF;FAST- ORB ;FAST- FREAK;FAST - SIFT;BRISK - BRISK; BRISK- BRIEF;BRISK- ORB ;BRISK- FREAK;BRISK- SIFT;ORB- BRISK; ORB- BRIEF;ORB- ORB ;ORB- FREAK;ORB- SIFT;AKAZE - BRISK; AKAZE- BRIEF;AKAZE- ORB ;AKAZE- FREAK;AKAZE - AKAZE;AKAZE- SIFT;SIFT- BRISK; SIFT- BRIEF;SIFT- FREAK;SIFT- SIFT
12.5723;13.5031;14.2978;13.4079;13.7875;11.99;12.366;12.313;12.0379;12.3974;14.2288;14.1554;13.1485;13.8215;11.6609;12.2359;12.0126;13.9541;11.9371;8.38688;13.5796;16.0029;13.3581;12.9858;12.3844;14.1641;12.2513;13.3619;12.974;12.2513
11.5763;12.7054;11.3035;12.5823;13.0014;11.2737;11.3162;11.4703;11.1626;11.2679;16.8297;17.4806;18.3059;19.0058;14.9751;24.3081;16.2011;10.4292;10.126;24.3081;18.8967;18.6164;17.0692;15.4044;16.9766;18.5494;10.8177;11.6413;12.6972;10.5979
14.2771;14.6458;13.4066;13.9572;15.9544;13.6756;12.9553;14.6564;13.6008;14.8664;15.0144;14.8883;15.8101;15.4049;12.9384;10.1859;12.1532;9.82854;10.6146;9.10753;15.0103;15.2386;14.9504;15.8292;14.9823;15.2953;13.4388;13.6152;12.2088;12.1831
12.3378;11.9678;12.1046;11.8915;12.5389;13.2389;13.119;14.0729;14.2491;15.3772;17.9507;26.1849;17.9507;13.8637;12.8742;59.5561;20.9364;43.2558;11.3707;541.326;15.9751;16.4819;15.534;15.3896;15.7096;15.6485;18.4941;18.6291;20.2067;18.2872
12.1368;12.5574;13.3275;12.9688;12.7336;#NOM?;#NOM?;#NOM?;#NOM?;583.25;22.0466;40.8526;18.5109;25.2287;36.8012;74.482;24.2026;37.4135;104.354;-147.885;17.3952;18.779;18.995;18.4754;18.7487;19.968;16.3386;16.0607;15.5552;14.7362
#NOM?;16.6916;15.1783;30.6942;13.8952;58.6136;18.7461;15.0826;17.6748;17.0226;19.0842;43.4169;22.1079;20.3825;13.7892;29.8927;23.4162;30.4962;30.1915;11.4346;19.6754;18.765;17.6658;19.492;18.2829;18.765;11.9982;14.724;11.8573;12.987
11.1755;12.1971;10.7798;9.6888;12.2476;7.67185;7.05117;7.59009;8.44955;8.21614;14.1517;20.0231;12.6962;8.5012;10.694;27.9717;32.2333;nan;20.7268;10.28;18.0612;17.7843;18.0126;18.96;16.9226;17.808;10.8652;12.3354;11.8966;12.1539
12.3243;13.0144;13.2502;9.8407;12.9654;10.8336;10.6297;11.9761;11.1619;11.9908;15.1562;20.944;13.9554;15.4768;13.4081;7.97925;22.5594;8.60366;9.02151;7.50253;17.1855;17.9932;17.307;17.2006;17.513;17.3152;15.471;15.5756;13.7228;12.4095
9.46512;10.9983;8.66266;9.9441;11.0187;8.68102;7.98424;9.36946;6.90899;9.60933;10.9509;15.6383;11.069;12.6134;12.7944;7.61492;30.9726;nan;7.61492;7.19531;17.019;17.8023;17.0944;17.452;16.8242;16.8251;11.3879;13.3627;11.6875;10.9336
6.74885;7.49101;7.20253;8.71402;9.12864;7.39492;7.42143;8.90966;9.00034;8.92623;12.1576;13.5758;13.0903;10.1791;12.8628;#NOM?;148.176;-36.0349;-33.2559;-39.5742;11.3571;14.3133;11.3184;11.5704;11.5665;12.6276;10.1494;10.1256;10.4069;10.5046
10.1814;11.1985;10.3507;11.1899;11.3263;15.693;13.9008;15.786;14.4636;15.1095;11.6124;16.4072;10.9642;13.4358;9.06325;6.536;10.8744;6.54568;7.90955;6.536;12.9773;14.6421;13.33;12.8263;12.6934;12.5843;12.7588;13.4914;12.363;12.3477
9.78634;10.7286;11.5986;10.8169;11.2447;8.06162;7.83492;8.46129;8.25032;8.36756;11.2634;14.3372;11.4907;10.6909;11.1652;nan;21.319;nan;8.31342;nan;15.0252;16.6068;16.1144;13.3184;14.9698;15.5784;10.1181;10.2972;9.93086;9.24977
14.0666;11.4732;12.1119;13.07;12.2022;8.65043;11.0297;11.6428;8.74623;11.5897;13.0573;14.5254;12.8926;15.0235;10.2583;6.28472;10.1773;6.68463;6.3262;6.3262;10.4926;11.7813;11.3682;10.1726;10.3217;11.7719;9.2886;10.4782;9.48786;9.12377
8.94004;11.1959;9.6094;9.18604;9.73895;10.0992;10.097;10.2814;11.0296;9.87032;10.3452;12.7307;11.5357;12.6482;11.8241;7.85098;8.89712;9.10961;8.11287;8.37783;10.8248;11.6834;11.4858;11.5008;11.3583;11.4461;9.8072;10.8558;8.93909;10.4011
9.98359;12.1312;9.497;11.1303;10.6921;7.27302;7.32177;7.49899;7.47543;7.49899;12.8674;10.4492;12.0266;11.8815;15.4186;8.19034;8.67502;8.51825;8.42714;8.19034;12.0347;12.5649;11.6638;11.6866;11.9198;12.4478;9.1075;9.20625;8.66666;8.87789
7.45001;10.7624;10.1726;7.41351;10.5345;11.0113;11.2226;10.4969;11.2159;10.4349;10.039;14.7281;9.1726;8.64172;9.00874;7.76548;10.3394;7.04715;7.88157;6.7817;11.5487;11.304;11.0679;11.0059;10.8303;11.1808;9.10962;9.22835;9.13533;8.71978
12.2723;12.1711;12.1403;12.6562;12.3705;9.41431;10.4317;9.9441;7.69968;10.2736;8.46091;12.641;9.10612;8.67556;9.70123;10.3618;16.13;10.8494;7.02786;18.9372;10.9602;11.2252;10.14;10.7809;9.81587;10.1559;8.601;8.65146;8.41165;8.60459
9.64049;11.2845;10.9021;10.0931;10.9086;11.4262;11.3381;11.7812;11.9757;10.7;10.9378;12.3109;10.8756;13.2054;12.3478;8.01919;10.6842;7.83282;8.73235;7.64457;10.3549;10.3433;10.55;9.28815;9.31504;10.5043;8.09722;8.05982;8.13944;8.10181
